dim1,dim2
13.30494,2.0037189
9.172458,0.22041714
14.388122,-5.3025227
8.702012,-5.3793592
22.572191,1.1249534
14.456626,3.1850195
8.834697,-6.8577
10.503669,-0.63244474
19.800886,-2.474364
5.6191254,1.79689
1.6732315,-1.6410724
8.205822,0.61385024
5.977082,-0.33941197
-10.627494,1.2806617
9.597121,2.2467947
20.184944,4.7372885
0.68347883,3.753456
2.1530626,-3.0534654
1.0291389,0.38538858
2.981499,-5.489845
4.1546326,-1.6511579
8.42965,-4.8021183
17.13634,-1.4839102
-17.62382,4.7772694
23.242592,-1.4245986
4.8283997,-4.5874505
21.722878,1.625707
-0.53314245,2.4587772
9.611079,-7.484515
14.652628,0.97501266
-0.32778814,-0.7626026
8.764796,-2.8390718
15.946654,-2.1707401
4.1305804,-2.8131378
13.410085,-7.492732
6.696068,2.5653195
-1.9591974,1.9798542
3.1596997,-3.8234732
-1.3991086,-0.5954694
16.231812,-1.5198447
6.302915,-2.2913392
8.284797,-2.8401918
13.459753,-3.6605382
13.468016,-8.507481
7.207955,-3.0033934
0.49996373,1.3498095
21.299152,-0.028200617
10.335857,-0.67698634
17.141039,-2.3896756
13.388989,0.91027755
4.6283984,-1.3776569
17.283148,2.683882
11.046396,-6.574779
2.233014,0.44605923
7.1774,2.8537462
14.4021,-3.6535003
-2.4056592,-3.6329582
5.78504,-4.388268
1.5037497,0.4552084
14.796357,-4.685982
3.57744,1.2231257
-12.241197,-10.48196
-16.003849,-4.66605
-12.761173,-9.245422
-13.518674,-6.9025593
-9.66989,1.3323647
-9.667625,0.034746386
-13.711254,-2.1840515
-11.745085,-2.7440455
-6.855909,-5.4732823
-11.914246,7.65034
-1.1101638,-5.2753434
-7.71331,0.8360503
-9.847393,-5.5211205
-12.511742,0.43633544
2.2105732,-0.28159195
-10.998852,-4.6697755
-7.6474147,-8.030036
-23.329672,10.20001
-6.782101,-0.7339706
-13.76632,-5.721749
-8.611157,3.123673
-13.929106,-2.2141836
-12.580082,-5.568526
-13.21686,-9.871231
-12.686261,-6.1679735
-13.763413,-8.339602
-9.870387,-7.9313507
-11.479678,-8.051503
-11.265084,-0.6785971
-11.750278,-3.762115
-10.665965,-7.4581413
-11.288944,-5.404634
-12.291711,-7.0858645
-9.776883,0.070648275
-11.819791,-9.406141
-8.468733,-6.169843
-14.778491,-6.1344156
-9.671434,-8.963173
-7.1624446,3.413468
-11.052167,-0.12742037
-18.35836,5.679723
0.56062126,-1.8979744
-12.129079,-2.4882052
-15.630372,2.697439
-0.8663708,-3.8131146
-5.0767255,2.446489
-4.8522468,3.5071278
-10.445466,-6.658344
-14.134001,8.304896
-6.008619,3.6325278
